celltype	microenvironment
epi.SOX9_basalis	Proliferative_basalis
mes.eStromal	Proliferative_basalis
mes.eStromal_MMPs	Proliferative_basalis
mes.Fibroblast_basalis	Proliferative_basalis
mes.uSMCs	Proliferative_basalis
immune.eM1	Proliferative_immune
immune.eM2	Proliferative_immune
mes.eStromal	Proliferative_immune
mes.eStromal_MMPs	Proliferative_immune
mes.dStromal_early	SecretoryEarly_immune
immune.uNK3	SecretoryEarly_immune
immune.uNK1	SecretoryEarly_immune
immune.uNK3	Vessels
immune.uNK1	Vessels
immune.eM1	Vessels
immune.eM2	Vessels
endo.Arterial	Vessels
endo.Venous	Vessels
mes.ePV_1a	Vessels
mes.ePV_1b	Vessels
mes.ePV_2	Vessels
epi.SOX9_functionalis_I	Proliferative_glands
epi.SOX9_functionalis_II	Proliferative_glands
mes.eStromal	Proliferative_glands
mes.eStromal_MMPs	Proliferative_glands
epi.SOX9_luminal	Proliferative_lumen
epi.preCiliated	Proliferative_lumen
epi.preGlandular	SecretoryEarly_glands
mes.dStromal_early	SecretoryEarly_glands
epi.preLuminal	SecretoryEarly_lumen
epi.Ciliated	SecretoryEarly_lumen
epi.Glandular	SecretoryMid_glands
epi.Glandular_secretory	SecretoryMid_glands
mes.dStromal_mid	SecretoryMid_glands
epi.Luminal	SecretoryMid_lumen
epi.Ciliated	SecretoryMid_lumen
epi.Glandular_secretory	SecretoryLate_glands
epi.Glandular_secretory_FGF7	SecretoryLate_glands
mes.dStromal_late	SecretoryLate_glands
